XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown,jumpButtonDown
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.530785,-2.290551,20.22375|0,0,0,0,0,0,0
8.615639,-2.313761,20.02599|0,0.115068,0,0,0,0,0
8.880666,-2.385893,19.43296|0,0.2724509,0,0,1,0,0
9.162337,-2.462833,18.84038|0,0.4775341,0,0,1,0,0
9.26024,-2.48955,18.64296|0,0.564576,0,0,1,0,0
9.46232,-2.54476,18.24829|0,0.6632851,0,0,1,0,0
9.673351,-2.602485,17.85385|0,0.7829309,0,0,1,0,0
10.08294,-2.662269,17.4743|0.1380242,0.9209551,-0.25,-0.7,1,0,0
7.775642,-1.702953,17.10295|0.254712,1,-0.2,-0.8,1,0,0
5.155789,-0.9466738,16.7415|0.3738002,1,-0.1,-0.5,1,0,0
3.851275,-0.5993783,16.39573|0.502536,1,0,0,1,0,0
4.748461,-0.6991359,15.85143|0.3756239,1,-0.05,-0.9,1,0,0
1.548513,-0.5619739,15.46666|0.2588789,1,0,-0.65,1,0,0
-0.9009206,-0.6391903,15.06867|0.117975,1,0,-0.1,1,0,0
-1.322194,-0.7222635,14.66872|0.009164929,1,0,0,1,0,0
-1.359267,-0.8096339,14.26882|0,1,0,0,1,0,0
-1.398298,-0.902006,13.86894|0,1,0,0,1,0,0
-1.203823,-0.9989719,13.47164|0.139935,1,0,0,1,0,0
-0.8154138,-1.099495,13.08189|0.249564,1,0,0,1,0,0
-0.1968319,-1.202359,12.70689|0.381318,1,0,0,1,0,0
0.6293179,-1.306562,12.35001|0.5015069,1,0,0,1,0,0
1.673861,-1.410143,12.01733|0.639012,1,0,0,1,1,0
2.898135,-1.513749,11.70787|0.7544611,1,0,0,1,0,0
5.084151,-1.665892,11.29864|0.933015,1,0,0,1,0,0
6.675617,-1.770452,11.04624|1,1,0,0,1,0,0
10.34826,-1.966425,10.65027|1,0.7858689,0,-0.05,1,0,0
13.21506,-2.097512,10.44703|1,0.612154,-0.6,-1.6,1,0,0
7.842575,0.3499859,10.37531|1,0.539425,-0.2,-0.6,1,0,0
7.569164,1.102339,10.25968|1,0.430795,-0.2,-0.85,1,0,0
6.366827,1.878782,10.17991|1,0.301321,-0.3,-0.9,1,0,0
5.009655,3.070074,10.13631|1,0.1789209,-0.35,-1.45,1,0,0
1.470469,4.486855,10.13869|1,0,-0.2,-1,1,0,0
-0.2811602,5.303782,10.17369|1,-0.1125929,-0.1,-0.75,1,0,0
-1.100385,5.743682,10.26696|0.8688099,-0.2437829,-0.1,-0.8,1,0,0
-2.249511,6.205641,10.41842|0.753076,-0.3595169,0,0,1,0,0
-0.5066768,6.30705,10.65773|0.6234159,-0.489177,0,0,1,0,0
-0.3420692,6.67406,11.65722|0,-0.7911599,0,-0.2,1,0,0
-0.3208161,6.858068,12.23227|0.1598369,-0.631323,0,0,1,0,0
0.04845664,6.913386,12.41611|0.222537,-0.5686229,0,0,1,0,0
0.5967609,6.959931,12.57588|0.331059,-0.4601009,0,0,0,0,0
1.307759,7.06222,12.94324|0.07048488,-0.1995268,0,0,0,1,0
1.042865,7.084213,13.02322|0,-0.1136969,0,0,0,0,0
-0.7168246,7.084213,13.02209|-0.2063309,0,-0.05,0,0,0,0
-1.596917,7.284188,13.02613|-0.3626339,0,0,0,0,0,0
-2.475832,7.284188,13.03323|-0.447444,0,0,0,0,0,0
-2.914838,7.284161,13.03793|-0.5428889,0,0,0,0,0,0
-5.540154,7.284161,13.08217|-0.6673949,0,0,0,1,0,0
-8.142372,7.284188,13.15367|-0.902688,0,0.05,0.1,1,0,0
-9.476249,7.080613,13.18761|-0.9680879,0.06539994,0.15,0.45,1,0,0
-8.545092,6.488183,13.18202|-1,0.1711439,0.2,0.65,1,0,0
-7.662087,5.677372,13.11292|-1,0.3009839,0.05,0.2,1,0,0
-9.400361,5.41678,12.94921|-1,0.4444081,0,0.1,1,0,0
-10.6817,5.365967,12.81855|-1,0.5521351,0,0.15,1,0,0
-11.72672,5.306331,12.65646|-1,0.695193,-0.25,1.15,1,0,0
-8.693664,6.281133,12.45118|-1,0.8036009,-0.25,1.05,1,0,0
-5.954962,7.229169,12.20386|-1,0.9460589,-0.1,0.8,1,0,0
-4.17617,7.556164,11.9386|-1,1,-0.2,0.45,1,0,0
