XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
-14.05704,-13.57169,11.0385|0,0,0,0,0,0
-14.05704,-13.49128,11.03602|0,0,0,0,0,0
-14.85704,-10.53863,10.94861|0,0,0.15,-0.2,0,0
-22.06298,-9.604166,10.22611|0,0.395754,0.7,-1.55,0,0
-24.00649,-11.14101,10.02778|0.142803,0.538557,0.15,-0.45,0,0
-25.06544,-12.83896,9.828094|0.248865,0.644619,0.1,-0.25,0,0
-24.89521,-11.99516,9.42923|0.4958641,0.8916181,0,0,0,0
-24.23683,-11.71378,9.329718|0.5589661,0.9547201,0.05,0.15,0,0
-18.64175,-11.75251,9.132262|0.653841,1,0.15,1.35,0,0
-9.033028,-9.847042,8.942992|0.760047,1,-0.15,2.3,0,0
-4.170445,-8.314204,8.851702|0.648174,1,-0.25,1.15,0,0
-1.664599,-9.556458,8.488463|0.4117801,0.763606,-0.05,0.35,0,0
-1.374016,-10.1761,8.398135|0.361707,0.7135329,0,0,0,0
-0.8591176,-10.81035,8.212645|0.259986,0.6118119,0,0,0,1
-17.84081,-8.874448,13.719|0.161886,0.7099119,0,0,0,0
-17.9388,-9.277987,13.62179|0.06188107,0.8099169,0,0,0,0
-18.20162,-9.348868,13.43168|0,0.9105219,0,0,0,0
-23.15018,-7.105863,13.05235|0,1,-0.3,-1.1,0,0
-25.12401,-7.238065,12.96048|0,1,0.05,-0.45,0,0
-26.50479,-6.659735,12.77971|0,0.864076,0.05,-0.25,0,0
-26.7063,-6.288183,12.69031|0,0.8043311,0,0,0,0
-27.11797,-6.377873,12.512|0,0.6943031,0,0,0,0
-25.17745,-7.949421,12.1574|0,0.4690301,0,0.7,0,0
-23.37948,-7.904526,12.06699|0,0.410404,-0.05,0.5,0,0
-20.17948,-7.200617,12.06699|0,0,-0.1,0.8,0,0
-16.85686,-7.501036,12.25488|0,-0.08461511,-0.15,0.75,0,0
-15.25686,-6.40631,12.25488|0,0,0,0.4,0,0
-11.45685,-6.333604,12.25488|0,0,0,0.95,0,0
-0.6564078,-7.65004,12.25488|0,0,0.35,2.7,0,0
-0.6620474,-9.116563,12.1549|0,0.05890793,0,0,0,0
-0.6676395,-9.330413,12.05493|0,0.1224929,0,0,0,0
-0.4788812,-9.194709,11.9631|0.09727496,0.2197679,0,0,0,0
0.01978234,-8.363513,11.79204|0.192336,0.3148289,0,0,0,0
0.3019647,-7.990505,11.7104|0.2894011,0.411894,0,0,0,0
0.5510744,-6.869127,11.31361|0.07424408,0.6270509,0,0,0,0
-0.04423466,-7.88583,11.21364|0,0.710571,0.35,-0.15,0,0
-1.844723,-10.3807,11.01368|0,0.8036939,0.6,-0.45,0,0
-2.861634,-11.86274,10.91376|0,0.865416,0.25,-0.25,0,0
-5.542559,-14.17007,10.61421|0,1,0.25,-0.65,0,0
-5.903488,-15.59486,10.31572|0,1,0,-0.05,0,0
-6.161189,-16.34292,10.21628|0,1,0.05,-0.05,0,0
-6.884016,-17.07376,10.01752|0,1,0.15,-0.15,0,0
-7.153245,-16.84844,9.918269|0,1,0.05,-0.05,0,0
-7.300143,-15.89646,9.719913|0,1,0,0,0,0
-7.453063,-15.59844,9.521625|0,1,0,0,0,0
-7.69488,-14.31979,9.224331|0,1,0.05,0,0,0
-7.778948,-14.16384,9.125272|0,1,0,0,0,0
-7.864919,-14.44912,9.026234|0,1,0,0,0,1
0.6623429,-25.26619,3.27735|0,1,0,0,0,0
0.6829963,-27.21185,3.177611|0,1,0,0,0,0
0.7543329,-31.9793,2.878503|0,1,0,0,0,0
0.8425589,-38.99541,2.579603|0,1,0,0,0,0
1.044177,-39.19459,2.480408|0.0723179,1,0,0,0,0
1.91295,-36.97859,2.284581|0.156192,1,0,0,0,0
2.591481,-35.96687,2.188607|0.217233,0.938959,0,0,0,0
3.66789,-36.13211,2.09749|0.3142169,0.8419752,0,0,0,0
4.044575,-33.95866,1.910891|0.2010237,0.728782,-0.25,-0.4,0,0
-7.33128,-27.80322,1.516171|0.005078852,0.5328372,-1.65,-3.15,0,0
-22.53131,-34.7863,1.516171|0,0,-1.15,-3.8,0,0
-34.12463,-28.02486,1.700621|0,-0.08921385,-0.9,-3.55,0,0
-38.71259,-28.94709,1.783623|0,-0.183918,-0.3,-1.6,0,0
-36.77297,-27.63442,1.862079|0,-0.247905,0,0,0,0
-33.36073,-26.37075,2.024695|0,-0.358785,0,0,0,0
-29.1897,-25.43377,2.279796|0,-0.5576039,0,0,0,0
-26.90307,-21.43585,2.455508|0,-0.640695,0,0,0,0
