XZangleToObj,YZangleToObj,DistToObjhorizontalPan,forwardPan,xRotInput,yRotInput,sprintButtonDown,fireButtonDown
1.159778,-3.382519,16.54695|0,0,0,0,0,0
1.159778,-3.328314,16.54679|0,0,0,0,0,0
1.159778,1.234321,16.58636|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
1.159778,1.884814,16.60052|0,0,0,0,0,0
0.7597608,2.084595,16.60052|0,0,-0.05,-0.1,0,0
-1.440214,4.885074,16.60052|0,0,-0.7,-0.55,0,0
-2.640194,6.48649,16.60052|0,0,-0.4,-0.3,0,0
-3.04015,6.88715,16.60052|0,0,-0.1,-0.1,0,0
-3.240149,7.2875,16.60052|0,0,-0.1,-0.05,0,0
-3.840175,8.088716,16.60052|0,0,-0.2,-0.15,0,0
-4.240208,8.889643,16.60052|0,0,-0.2,-0.1,0,0
-4.640174,9.690673,16.60052|0,0,-0.2,-0.1,0,0
-4.840193,9.891236,16.60052|0,0,-0.05,-0.05,0,0
-5.040184,10.49181,16.60052|0,0,-0.15,-0.05,0,0
-5.240189,11.29238,16.60052|0,0,-0.2,-0.05,0,0
-5.440173,11.69302,16.60052|0,0,-0.1,-0.05,0,0
-5.440173,11.89302,16.60052|0,0,-0.05,0,0,0
-5.440173,11.89302,16.60052|0,0,0,0,0,0
-5.440173,11.89302,16.60052|0,0,0,0,0,0
-5.440173,11.89302,16.60052|0,0,0,0,0,0
-5.440173,11.89302,16.60052|0,0,0,0,0,1
-41.01153,43.31544,15.14755|0,0,0,0,0,0
-41.01153,43.31544,15.14755|0,0,0,0,0,0
-41.01153,43.31544,15.14755|0,0,0,0,0,0
-41.01153,43.31544,15.14755|0,0,0,0,0,0
-41.01153,43.31544,15.14755|0,0,0,0,0,0
-41.01153,43.31544,15.14755|0,0,0,0,0,0
-41.01153,42.91544,15.14755|0,0,0.1,0,0,0
-41.21153,41.5956,15.14755|0,0,0.35,-0.05,0,0
-41.21153,41.5956,15.14755|0,0,0,0,0,0
-41.21153,41.5956,15.14755|0,0,0,0,0,0
-41.21153,41.5956,15.14755|0,0,0,0,0,0
-41.01153,40.51543,15.14755|0,0,0.25,0.05,0,0
-40.61153,39.35709,15.14755|0,0,0.25,0.1,0,0
